title,headline,media,inspiration,what_it_does,how_we_built_it,challenges,accomplishments,lessons,whats_next,built_with,demos
HOPE Worldwide Rebranding,"
    Full rebrand for the organization HOPE Worldwide
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/902/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/899/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/900/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/903/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/901/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/898/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/897/datas/gallery.jpg', 'https://www.youtube.com/embed/91k71mTrQC0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/902/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/899/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/900/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/903/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/901/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/898/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/897/datas/original.png']","We were inspired by HOPE worldwide's mission and wanted to fully embody this through our rebranding. As for visual inspiration, we took inspiration from the websites of similar non-profit organizations, such as 4oceans.","So how did we rebrand Hope Worldwide? We crafted a unique logo for them, which is essential for any organization to have. Logos are the face of the organization because organizations may have similar names, but a logo will help any organization stand out from the rest.What else must an organization have to build their brand? In the digital age, a website. Websites are essentially the digital resume of the organization. Any resume must be organized, easy on the eyes, and concisely packed with information, and the same applies with websites. ","We made the logo based on the current color theme and the mission of the website, with some adjustments to better suit the organization as a whole. We then organized all of the info that is currently on their website, grouping similar elements together in their own webpages. Lastly, we conveyed this visually through the use of Figma.","Our biggest challenge was concisely organizing the load of information the site had - particularly on the homepage. We found that there was too much info on the homepage, so much that it doesn't compel users to look at the other pages in the website. With our new website organization, though, we believe that our formatting will help retain others' interest in both the website and its associated organization.","We're particularly proud of the logo and organization of the site, because of how effectively they work together.","We learned the need to prioritize aspects that make a successful marketing plan. Additionally, this project emphasized to us the importance of logos and avoiding visual overload on a website. Lastly, we learned how to incorporate user experience into marketing strategies.","We plan to implement our new website design and see the impact is has on the site's visitors (retention and click-through rates). Additionally, we want to further develop the organization of the site to make good use of the screen's space and user experience. ",['figma'],
MedPromatic,"
    A one-stop shop for all medical needs
  ",,,,,,,,,"['cloud', 'css', 'dart', 'firebase', 'firebase-authentication', 'firestore', 'flutter', 'google-maps', 'react']",['https://github.com/sunflower12125/medPromatic.git']
HeatSmart Alliance Digitization of Customer Journey,"
    CRM Portal
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/714/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/715/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/716/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/717/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/718/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/719/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/720/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/779/datas/gallery.jpg', 'https://www.youtube.com/embed/nZYNIFLLvqw?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/714/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/715/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/716/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/717/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/718/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/719/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/720/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/779/datas/original.png']","We were inspired by HeatSmart Alliance’s mission to tangibly reduce greenhouse gas emissions by helping MA residents choose the best heat pump installation and by the dedication and expertise of the HSA volunteer coaches and staff. At the current state, HeatSmart Alliance coaches currently rely on collecting customer information via email correspondence and the organization’s digital presence is minimal. We hope to offer a digital platform that can benefit the organization to help increase its outreach in the future and capture valuable data on the heating cooling landscape in MA.","The HSA portal was created to be a customer relationship management (CRM) tool that eliminates the manual administrative steps of collecting data, so coaches can focus more on educating and coaching customers. MA 2030 Clean Energy & Climate Plan calls for 1M heat pumps by 2030. The result of digitizing these processes will help free up each coach’s time and in turn, help expand their reach to accelerate the adoption of energy-efficient heat pumps in MA homes and buildings.","We created a mockup on Figma to lay out the web pages and their connections to each other. Afterward, we used EditorX to create the website.","HeatSmart Alliance currently utilizes WordPress for its main website. For this project, we decided to go with the no-code approach due to the learning curve required with WordPress. We used Wix’s Editor X, a web development service. While using the platform, we ran into some roadblocks that required a paid subscription to the service. This included giving custom login information, assigning roles, and building a separate private messaging system.","The team is most proud of our accomplishments with functional buttons, creating a complete webpage flowchart, our presentation, our submenu and menu bar, the ability to upload files, and adding a “leave a rating” feature.","Many of our team members were new to web design and development. We learned to use Figma to create a website mockup and create a website with EditorX. We learned how to add a feature to upload files, design menu and submenu bars, and create coach and client-only pages. ",,['editorx'],['https://jalynallen.editorx.io/heatsmartalliance']
WPY External Rebranding,"
    WPY has a trememdous impact but struggles to communicate their value propositions to the public. We revemp the old website to improve user experience so that it can atttract more future donors. 
  ",['https://www.youtube.com/embed/I0ngOlSF3Ac?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"```The Waltham Partnership for Youth’s mission is to cultivate today’s students into tomorrow’s leaders. We accomplish this by developing programs and building a syndicate working together to support our youth. We are strong, but like other organizations, we have pain points. As a group we believed that one of the most valuable tools of engagement and awareness is having an effective platform to communicate. Our team conducted a survey and census that showed that the current website lacks engagement and struggles to communicate WPY’s value to the youth and community. Taking a look at their current website, we see the design and fonts are outdated. Starting with the home page, and even then the get involved page which provides no additional information to donors other than a donate button and an address.",,"```We first did a user research collecting feedbacks on what the viewers like and dislike about the website, focusing on the organization of the menu bar, information density on each page, and what would they care about if they are potential donors looking for ways to contribute. Then, using Google Sites, we completely revamped the website with a fresh look, better segmented pages, more visually appealing color schemes, improved logo presentation, and most importantly, collection of crucial information that the donors care about all in one place.",,"```We’re proud of designing a website that WPY can implement and use to advance their current operations. The organization provides a multitude of resources to the community, and that often gets lost in translation. We’re happy to have created a design that more effectively communicates WPY’s values to the community. We’re also really proud of how well we were able to work and generate ideas as a team.",,,"['canva', 'google-sites']",['https://sites.google.com/brandeis.edu/waltham-partnership-for-youth/about-us?authuser=1']
A Friendly Navigator,"
    The Leland Home is a non-profit cause with a simple message to help people. However, the site is hard to navigate for their target audience. Implementing a simple bot to help the user is the solution!
  ",['https://www.youtube.com/embed/zrkBsoItCeU?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],,,,,,,,"['json', 'nltk', 'python', 'pytorch']",
Hope Worldwide Challenges,"
    We came out with some suggestions towards three challenges Hope Worldwide Boston has been facing. Hopefully our ideas could inspire the team of HWW Boston.
  ",['https://www.youtube.com/embed/GzISUHo38OM?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"We got the inspiration for the sentiment analysis part from the course we took last semester. For the other theoretical parts, we were inspired by readings and the data we collected.",,"We design a google form survey asking the recipients to fill it out after participating in each event. There are a total of 4 types of questions to qualify recipients' experience, degree of satisfaction, how many times participating events, the intention of sharing and participating in other events.We also design word clouds and conduct sentiment analysis based on comments and ratings from google form questionnaires and social media.","It’s hard for us to get real responses from people who attended our events in the past. Thus, we simulated responses and conducted sentiment analysis.","By collecting the information of population structure and reading through the annual report of the overall organization, we filtered useful information and made decisions based on them. Within a short time we worked out with code that can help us to do the sentiment analysis.",We learned how to brainstorm marketing strategies and analyze comments for NGOs.,,['python'],['https://github.com/Hazel7705/-hope-sentiment-analysis']
The Nexus Project by WCOC - Nexus Connection,"
    This website helps nonprofits and for-profits to connect; businesses can quickly learn about nonprofits and connect to them through a forum, while nonprofits can easily communicate their needs.
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/590/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/591/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/592/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/594/datas/gallery.jpg', 'https://www.youtube.com/embed/oTwTlIEoZ4w?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/590/datas/original.jpeg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/591/datas/original.jpeg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/592/datas/original.jpeg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/594/datas/original.jpeg']",We were passionate about the idea of being able to create long-lasting and impactful relationships between local nonprofits and for-profits. We came up with a creative and effective solution that would connect these organizations through a website that could match nonprofits and for-profits together and create a line of communication. The website structure is inspired by dating applications because of the efficient way they allow people to meet to easily create a line of communication through one swipe.,"This website allows businesses to discover non-profits that align with their passions and values. After finding nonprofits that interest them, the business will be allowed to join the forum designated to that non-profit where nonprofits can communicate their needs and businesses can communicate back stating if they can fulfill their requests.","We created this website from scratch using a MERN stack (sans MongoDB due to time constraints) with Typescript. Backend development involved creating a structure of API routes, functions, and data structures for storing for-profits, non-profits, and forum logs. It was accomplished through Express and Node.js. Front-end development was done through a React app, using libraries such as Material-UI and react-router-dom.This project was written with Typescript, React, Material-UI, NodeJS, Express, and GitHub.","This project had a significant amount of technical coding involved. Due to time constraints, we were unable to fully implement some features we had envisioned, such as storing our database on MongoDB and a matching algorithm. A good amount of time was spent debugging and researching different packages, functions, and implementations that would best suit our needs.","We were given an issue (how to connect for-profits and nonprofits?) and we brainstormed, planned, and coded our way into the product we present here. We’re pretty proud of this.","Our team is composed of a diverse background of skills. Some of us learned about full stack development and the variety of packages, languages, and platforms that come with this programming. Some of us learned GitHub collaboration and how to pitch an engaging proposal. All of us learned what we can accomplish in 48 hours with a little (lot) of caffeine. ","We would like to create a matching algorithm that will refine user preferences by taking into account any filters the user chooses (i.e. nonprofits within a 10 mile radius, nonprofits in the “Research and Education” category) and the types of non-profits the user swipes left or right on. Our goal is to build an algorithm that will most efficiently align nonprofits with businesses’ values, passions, and missions.We would like to polish up the GUI aesthetically and functionally. Next steps include allowing non-profits to edit their own profile and forum posts, and allowing businesses to select preferred non-profit categories.We hope to connect the WCOC membership database with our user and non-profit database. This will allow non-profit WCOC members to automatically have a profile in the Nexus Connection, and allow for-profit WCOC members to gain access to this application. To help with security, we would like to create a login screen, where members of the chamber can login to access this networking program.","['css', 'express.js', 'github', 'html', 'material-ui', 'node.js', 'react', 'shell', 'typescript', 'vscode']",['https://github.com/chauchloe5/DeisHacksWCOC']
Stay The Night,"
    We made a website that streamlines the process of finding available beds for homeless people, and connecting them to relevant resources such as food, self-care, rehabilitation, and transport.
  ",['https://www.youtube.com/embed/U0rkxJNJpEo?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],,,,,,,,"['and', 'bootstrap', 'css', 'figma', 'html']",['https://github.com/lorrinStone/staythenight']
improve customer experience of the leland home,"
    research the customer experience and website information of the leland home, provide solutions of improving the customer experience 
  ",['https://www.youtube.com/embed/MoZwO0UjTxo?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"What inspired our project was that improve safer, simpler, and affordable services for persons age 62 and over who desire or need assistance in their daily living during the special years with Covid-19. On the other hand, by our designed customer journey mapping and the whole solution, we also inspired that we optimize and improve the customer experience for the LELAND HOME to offered seniors comfortable accommodations, personalized services and have a variety of games and activities, which are looking forward to making seniors’ life happy. ","According to the collected information and demands which can represent the characters and real demand for seniors (old than 62), we designed the customer journey mapping, also provide the whole solution to help seniors.
Firstly, the customer journey mapping to Rich website information, so that users directly intuitive experience the whole process, we can find out possible problems with the Leland Home website so as to improve customer service.
Our customer can use this map to get the service she needs. She meets the first touchpoints
And her action is separated into two categories at this touchpoint.
One is that she keeps browsing the Leland website for more information but some of these sections are blank, the other is redirected to the website of Deaconess Abundant Life Services which has more information she is looking for.  ","Firstly， we try our best to collect the information and feedback from some seniors. And then we analyze the current website of the LELAND HOME and the characteristic of seniors. 
Secondly, we discussed and designed the customer journey mapping, including guiding the entire process, customer sentiment analysis, and detecting the pain point of the customer searching experience.
Next, based on our designed mapping, we provide the solution, which has voice service, different language choices, and translation tools. ","Time management and Covid-19 were our biggest challenges. During 48-hours, we didn’t have enough time for finding more information and demand from customers who are more than 62 years old. On the other hand, due to Covid-19, we didn’t visit some customers and get the feedback face to face, which we think is helpful for collecting information and demand from customers.","We are proud of the design and solution of the customer journey mapping which can be helpful to improve the customer experience of the LELAND HOME. We are proud that our solution can optimize and improve the customer experience and help the seniors (old than 62), which can make them happier and healthier. We are also proud of our collaboration which makes us complete this project successfully and efficiently. Team work and a group project with discussion, divide up, collaboration, are so amazing.","We learned many new things about customer journey mapping design and process. We learned that focus on the characteristics and real demands of seniors (old than 62) and learned to customize the design of the journey mapping.
On the other hand, we all tried to learn how to collaborate and how to divide up work for completing this project effectively and efficiently. We also improve our skills in PPT、journey mapping design, research, thinking, etc.",,"['adobe', 'customer', 'journey', 'leland-home', 'mapping', 'powerpoint', 'premie', 'seniors-service', 'world']",
The Bag,"
    ""The Bag"" is a money budgeting platform geared towards high school students to encourage them to start saving money by visualizing the allocation of their money toward their goals aka ""their bags"".
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/586/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/629/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/635/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/634/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/631/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/633/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/636/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/630/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/632/datas/gallery.jpg', 'https://www.youtube.com/embed/v3Zbw6-YvqU?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/586/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/629/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/635/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/634/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/631/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/633/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/636/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/630/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/632/datas/original.png']","Our Inspiration for this project is many high school students in the US don't learn about financial literacy and things like credit card, credit scores, etc. Not knowing these tools can put these students at a disadvantage later in their lives and a very important aspect of adult life. Many people in our group also experience these lack of resources in college and are now behind of things like building credit. We wanted to try and create a bridge to allow students to learn it out of school, but feel incentive to do it.","When logged on users can create ""bag"", which are objectives that they can start saving money towards, they can allocate a desired amount of money into each fund, they can also create, group bags where they can create a bag with their friends and all allocate money towards a goal, like a big vacation, etc.","We built ""The Bag"" using Figma, a useful application to prototype applications. ","It was a challenge to try and navigate Figma and we ran into many problems, but we watched many tutorials and read multiple articles to get a better understand of the software and we are way more confident in our skills now than before","We're proud of fleshing out our idea into reality and learning about Figma, which is a very useful tool that none of us knew about. We believe that this idea would have big impacts not only in Waltham, but in the world, financial literacy is an important thing everyone should be taught in school and we are happy we can make it engaging for the youth while teaching them how to budget and important financial literacy topics.","We learned Figma and how to create an interactive prototype, usually we dive straight into coding and make things up on the fly, but this time we took a slow and analytical approach to really plan out our data and flesh it out. ",Now that we have a fleshed out idea we want to do to high schools around Waltham and select a small group of students and ask for their feedback on the application and apply that feedback to our product and start coding in Flutter to make it a realityMake sure to check out our flow out below!!,['figma'],['https://www.figma.com/community/file/1072165177760343560']
Hope Worldwide Metrics,"
    We are working on building up metrics for Hope Worldwide, hoping to push the social impact of the organization. 
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/870/datas/gallery.jpg', 'https://www.youtube.com/embed/8rVA32Lvj6s?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/870/datas/original.png']","We were inspired by the project that Hope Worldwide Massachusetts has been working on, Food Pantry, Saturday Academy, and Elderly programs. However, one obstacle is how to let stakeholders know exactly what contribution has been made by Hope Worldwide? And what outcomes can we see after quantifying the social impact of this organization? ","So we came up with the social impact management metrics together with a questionnaire that can be used to collect data, to help Hope worldwide make a better evaluation. It's clear that such metrics will attract not only volunteers, donators, but also enhance the internal administration of Hope Worldwide. ",,,,"Acting as consultants, we try to find the demand of an organization. Tough the schedule is really tight, we made some outcomes through our teamwork! ","After collecting adequate data, we hope analysis of each project can be made through our metrics. And a social impact report can be accomplished in the end, which is attractive to donators, volunteers, and other funders such as the government.",['prezi'],
AccountUp,"
    Help people from African countries open bank accounts and be financially included into the main stream
  ",['https://player.vimeo.com/video/674129552?byline=0&portrait=0&title=0#t='],"Lack of access to bank accounts among the marginalized people of people living in African Countries. Research indicators show that less than a quarter of adults in Africa have an account with a formal
financial institution, and many adults in Africa use informal methods to save (such as Rotating
Savings and Credit Associations (ROSCAs), tontines, chit funds, burial societies) and borrow. Low and volatile income levels, inflationary environments, high illiteracy rates, inadequate infrastructure, governance challenges, and the limited competition within the banking industry as well as the high cost of banking in Africa are some of the factors leading to its underdeveloped financial sector and its limited outreach.
(friends, family, and informal private lenders). ","Given certain parameters concerning the user's background,my app tries to predict how easy or difficult it is for the user to open a bank account in an African country",,,I am proud to present a fully functional web app that uses real data to assist people in knowing why they arent able to open bank accounts,I learnt many different things during this hackathon. I learnt how to built web app using streamlit and new technologies like ML and predictive modeling,Improving the original ML model and deploying it for research purposes,"['css', 'html', 'javascript', 'machine-learning', 'python', 'scss']","['https://wyldfire.000webhostapp.com/', 'https://github.com/VTPrince/blackathon']"
Heat Pump Alliance ,"
    Promoting the adoption of using Heat Smart Alliance to reduce household carbon footprints 
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/998/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/002/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/792/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/791/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/790/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/788/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/786/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/789/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/785/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/787/datas/gallery.jpg', 'https://www.youtube.com/embed/q3Y0ZKq2o_0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/998/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/002/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/792/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/791/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/790/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/788/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/786/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/789/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/785/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/822/787/datas/original.png']","Climate change is the term that has been mentioned a lot recently. Because of climate change, warmer temperatures over time are changing weather patterns and disrupting the usual balance of nature. This poses many risks to human beings and all other forms of life on Earth. The causes for climate change are because of pollution, carbon emission, green house gas emission, etc. With the thought to reduce the amount of carbon and green house gas emission to save the earth, we would like to help Heat Smart Alliance to reach to more people and speed up their work through developing technology aided coaching, digitalization of existing customer journey, and expand the reach to more MA communities. ",,,,,,,"['artificial-intelligent', 'css', 'google-cloud', 'html5', 'javascript', 'machine-learning']","['https://gallant-wiles-d03b58.netlify.app/home.html', 'https://github.com/darshantogadiya/deisHack2022']"
Nurture,"
    Automated Artificial Environment Chamber
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/287/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/295/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/296/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/302/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/310/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/420/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/425/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/604/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/581/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/714/datas/gallery.jpg', 'https://www.youtube.com/embed/N91eIB1B_JQ?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/287/datas/original.jpg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/295/datas/original.jpg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/296/datas/original.jpg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/302/datas/original.jpg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/310/datas/original.jpg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/420/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/425/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/604/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/581/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/823/714/datas/original.png']",The fondness towards gardening and plant growth in artificial environment or similar like poultry incubator was a major motivation behind our idea of building Nurture. We wanted to build a feasible and versatile solution with a comparatively easier user interface that can be used by everyone and not only laboratories or industries. ,,Here we are showing nurture to monitor the parameters for a plant that will produce artificially controlled environments crucial for its growth and seed germination in any environment. We used MQTT for the messaging part and we used motor pump to automatically water the plant and a bulb to warm the environment. Used an ESP32 to connect to the WiFi and ran RTOS on it to run the functions.,,,,,"['akiro', 'esp32', 'hardware', 'iot', 'oled', 'rtos', 'sensors']",['https://github.com/Deblina28/Nurture']
Corporate Social Responsibility In-Kind Database,"
    Our team created a dynamic database for the Haven Project with over 40 resources for in-kind donations to diversify value, assets, and increase accessibility to resources.
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/821/724/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/821/728/datas/gallery.jpg', 'https://www.youtube.com/embed/ras6rtG5wb8?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/821/724/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/821/728/datas/original.png']","Our team observed that like many other Non-Profit organizations, the Haven Project relies on donations and grants to access the resources needed to serve their mission. Our team wanted to find a way to help Haven access a more diversified set of resources.","The clothing category includes resources for clothing donations, and the toiletries category includes resources for toiletry donations. Auction donations lists companies that will donate high-demand items that can be auctioned by the non-profit for fundraising, and the meals & vouchers include resources for meal vouchers, food donations, and restaurant gift cards. Local grants lists companies that give small grants to nonprofits through the company’s local branches, and job resources lists available resources to assist in building workforce skills or finding apprenticeship opportunities. We believe these categories will help the Haven Project access a plethora of resources to serve their clients. ","During research, we learned about Corporate Social Responsibility and In-Kind donations. We saw great potential for connecting these resources with the Haven Project. Through Corporate Social Responsibility programs, many large corporations give various types of donations to local nonprofits other than money. We learned that these are called “in-kind donations”. Our team decided we wanted to find a way to make it easy for the Haven Project to access the many in-kind donations that are available. Our team worked on gathering information about over 40 companies that participate in Corporate Social Responsibility programs. We created a database that listed the company names, the type of donations they make, descriptions of the donations, and all necessary steps to apply for and receive the donation. We filtered the donations by type so that the Haven Project can easily select which category of available donations they would like to view. The categories include clothing, meals & vouchers, auction donations, local grants, toiletries, and job resources. We implemented our database into a website using Wix website builder. All information from the database is accessible on the website. ","The largest challenge our team faced occurred when one of our team members exited the group fairly late into the event. This member had the most coding experience, and left us with a complicated and unfinished website. Our team had to ideate a way to build an effective web interface with limited coding skills and limited time. We started the website from scratch, deserting the previous interface we had spent many hours working on. We quickly found creative ways to work with a website builder, and implemented fast research to learn how to transfer our database into the website builder.",All of our determination and willingness to persevere has led us to our finished product. We have created a user-friendly and effective web interface that the Haven Project can use to access all of the resources we spent time researching. ,"Through determination, effective team-work, and creative problem solving, daunting challenges can be overcome. ","Our team intends for this database to continue to be updated and expanded as further research is conducted. In the future, our team envisions a function that would allow donors to visit the database and register their own resource offerings to the database. ","['csv', 'excel', 'wix']",['https://pearovsocks2.wixsite.com/my-site']
