title,headline,media,inspiration,what_it_does,how_we_built_it,challenges,accomplishments,lessons,whats_next,built_with,demos
Clipper Ship Foundation Hack,"
    Through establishing and quantifying key metrics, building a database, and visualizing Clipper Ship Foundation’s past impacts, we aim to incentivize more NPOs to apply for the CSF grant.
  ",['https://www.youtube.com/embed/_roC1keAL5U?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"Clipper Ship Foundation's purposes is truly meaningful, however, we found out that the Foundation’s website lacks clarity regarding previous projects. Especially, it lacks the metrics that can be used to convey the large impact it has already made and therefore cannot efficiently attract nonprofits to apply for grants. We hope to re-organize its data and visualize the impacts so we can increase the amount of grant applicants in the next CSF grant application cycle.","Through this project, we are aiming to help CSF better visualize their impact, and therefore attract more protective NPOs to apply for CSF grants. ",We used Google form and Python Packages to create both a database to collect impact results from grantees and an interactive impact visualization model.,"We have limited experience with creating metrics for CFS's three target help areas, so we learned a lot on how to measure relevant impacts. We also learned a lot in creating data visualization charts using Python.",We are proud of the complete distribute-collect-visualize procedure we made for CSF.,"We have limited experience with creating metrics for CFS's three target help areas, so we learned a lot on how to measure relevant impacts. We also learned a lot in creating data visualization charts using Python.",We hope that CSF can continue expand the database and data collection form we have built for them. CSF should be able to include these visualized impacts in its marketing materials on its websites and the pamphlets that can be distributed in various occasions.,"['google-form', 'python']",
WPY Website ReVamp,"
    Our DeisHacks Team addressed WPY's issue of community identity confusion by redoing their website and adding a community partners map, more staff info, a designated ""about"" page, and more.
  ",['https://www.youtube.com/embed/AYZkQ43Usns?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],,,,,,,,"['css', 'github', 'html']",
Jobs for Inclusion,"
    Jobs for Inclusion allows people with disabilities and their job coaches to search for jobs based on their ideal working environment, allowing people to have more meaningful jobs and connections. 
  ",['https://www.youtube.com/embed/SMIHtxnpA7w?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"Opportunities for Inclusions is a community center for people with intellectual and developmental disabilities. One of the ways they serve the community is by helping clients find and hold on to jobs. Employment is extra important for their clients because it provides them not only with income, but also an opportunity to use their skills and engage socially with the community. People with disabilities face extra challenges when applying for jobs as the typical job listings do not include specifics about environmental conditions that may affect the clients. Currently Lisa, the job employment specialist at Opportunities for Inclusion, relies on traditional job listings to place clients into jobs based on convenience such as location, transportation, or even just wherever there is a job opening. ","In order to help job seekers with disabilities and their job coaches connect with more meaningful jobs and increase job retention, we have created a supplementary tool to traditional job search platforms that allows job seekers to match with jobs based on their ideal working environment needs. Our tool will assign tags from a list of 9 default tags that are important to people with disabilities when finding jobs to job postings. Employees will take a situational assessment to identify which tags are their strengths and weaknesses. The 9 tags are people skills and interactions with customers, standing for extended periods, physically demanding, teamwork, manual dexterity, tactile stimuli (touch), fast paced, auditory stimuli (hearing), olfactory Stimuli (smell), and mental stimuli (organization, thinking fast). The platform then creates suggestions for job seekers based on best fit based on the tags and/ or by location. ","To begin with, the business team brainstormed the features of the tool. We designed a series of assessments based on our experience working with people with disabilities and understanding of the research process and survey design. After brain dumping all our ideas, we started to consolidate a plan that would be feasible to build and also solve the specific needs of our client. Jobs for Inclusion is built on a Django framework. We used HTML+CSS and Javascript to build the frontend with the goal of making the site as user-friendly as possible, and used Javascript to interface the database with user inputs.We also wanted to make intentional design elements when considering the users of the application. We created an interface that matched the design of the current website in order to allow for a seamless transition from main site to this web app.In addition, we designed the interface with all users in mind creating the least amount of barriers to overcome when using the forms. This includes high contrast font colors/background color, large font size, large buttons, and highlighting active input fields. According to web accessibility standards for web development, elements of our project earns a AAA, the highest rating awarded.","During this process our team pushed ourselves as coders trying to fit a somewhat complicated setup into 'production' in this short window of time, as well as communicating on a very new team and dividing responsibilities over zoom. ",We are proud of how we progressed from a group of strangers to a team in less than 2 days. We are also proud of building a platform that will help the OFI better serve its clients and help them find more meaningful and permanent job positions. ,"For most of the team this was our first time meeting, some of us had never been to a Hackathon before, and we were working together virtually, so one of the most important skills we learned in our short time together was communicating effectively and dividing our work efficiently. On the business side, we learned how to turn our abstract ideas into a clear plan that the programmers could use to build out the tool. On the tech side, we learned how to leverage each of our skill sets to rapidly build a platform. ","We plan on testing this tool with a cohort at Opportunities for Inclusion. Specifically, we want to identify whether the 9 tags we have selected are the most important, when or not this tool will actually improve job matches/ satisfaction, and the usability of the tool.  We would love to continue building out the site’s functionality by incorporating Google Maps API to display distances between job seekers’ and job listings’ addresses and filter for users’ distance and public transit accessibility preferences. We would also like to use natural language processing to associate common job listings with automated tags to save employers and career coaches time. Incorporating either technology would require an additional 1-2 weeks of development and testing. ","['css', 'django', 'html5', 'javascript', 'python']",['https://hbarber2.github.io/OFI-Survey/']
Vaccine-Speaks,"
    A Web-based Map tool that helps to visualize sentiments towards vaccine in real-time
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/954/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/955/datas/gallery.jpg', 'https://www.youtube.com/embed/HMHRUxT4SP0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/954/datas/original.jpeg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/955/datas/original.png']","Those Spreading Rumours about Covid-19 Vaccines to be Punished under the Disaster Management Act, IPC - Indian Government","It presents a general overview of how people in different regions of the same country are satisfied or dissatisfied with the vaccine. Our App will show Among India, America the impact of the Vaccine and give an idea about what the people in that area think about the Vaccine namely in four categories - POSITIVE, NEGATIVE, MIXED and NEUTRAL. This classification is done by extracting Twitter data with its latitude and longitude","REACT, AWS COMPREHEND, TWITTER API, EXPRESS, PYTHON, PANDAS, REACT-GL-MAP","Cleaning data from tweets was a slight challenge as the emojis and other characters users use are unpredictable. Storing the data including the latitude and longitude and sending it to the React frontend using Express JS caused some issues. We were finally able to make the transition such that the application became more responsive. MapBox caused some issues while using the React useState hook. In such a case, scroll and zoom functions were not working. But we figured out our mistakes and others But we figured out our mistakes and other errors through a combined effort.",1.Preprocessing of the data wasn't easy and it took a lot of time to process it 2.Getting the Twitter data from the backend through API Calls was a bit hard 3.Making the Map Interactive and integrating with the data from the backend 4.Making the App realtime through which new tweets will be read in regular intervals and will be added to the map in real-time,"React Gl map, AWS COMPREHEND, TWITTER API, How to make a project execute in real-time","We want to make this application applicable to all countries so that anyone in the world can come to access it. Also, we would like to add a feature that shows how much COVID Vaccine has proven to be beneficial to the public and testimonials for the same.","['amazon-web-services', 'aws-comprehend', 'express.js', 'pandas', 'python', 'react', 'react-map']",['https://github.com/ramcalm/VaccineSpeaks']
Leland Deishacks,"
    marketing strategy hack for leland
  ",[],"Leland's website wasn't as strong, we felt as though with modifications, it can be improved to gain traction ",more content has been included on its website to attract more customers and provide more information about what it does,we used the canva platform,"we felt as though the hack needed to be a tech-heavy invention, so we were a bit concerned",the hack implemented in this project were representative of similar website enhancements done by some of the most successful home-care services in the country ,"even without a tech-heavy project, one can still make a contribution to a non-profit.","we hope they implement these modifications, as well as other operational changes submitted, which could potentially increase Leland's market coverage area. ","['canva', 'figma']","['https://www.canva.com/design/DAEZUx3qgG0/O5PR7H_EVaXPRNxF_M52hQ/edit', 'https://www.figma.com/proto/oagwR7M8vec77mhTizDp6B/Untitled?node-id=12%3A85&scaling=scale-down']"
MTW Soft Skills Training Design,"
    A website with two parts: a simulation of life-choices game and a database for fun group activities
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/932/datas/gallery.jpg', 'https://www.youtube.com/embed/MKSUB5lDZmQ?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/932/datas/original.jpeg']","Soft skills are very important in the workforce. However, the trainings for soft skills can sometimes feel boring and disengaging to people, especially to the youths who don't understand the importance of those skills.",The project is a demonstration of how the workshops can be done differently. The first part is inspired by life-choices games and let the youths see the results of their choices and discuss about it. The second part is a database of either in-person or online activities that can be done to help youths lean in a fun environment.,"There are several parts to it: web development, video editing, scenarios design, and activities research.","We initially envisioned to build a full-blown interactive life choice game, but none of us know how to make such games. So we changed gears and utilize what we know to build a more coarse version of the life-choice game",We are proud of coming with those ideas and the successful implementation of them.,Be Bold and Creative!,"We only had less than 2 days to create this website, and design all the elements on it. I believe with enough time, we can make significant improvements on both parts. For the first part, we can include more questions, and make it more game-like and visually attractive. For the second part, we can include more activities and a search function. ","['css', 'html', 'javascript']",['https://drive.google.com/drive/folders/1KoM-TX7vYGe828KPFyPS7XZVpfV0ldrw?usp=sharing']
TourEasy,"
    What if you could go to your dream destination without any last-minute troubles? Choose the location get info and interact with those citizens in turn assisting you to be prepared for your stay!
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/810/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/812/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/813/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/814/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/815/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/816/datas/gallery.jpg', 'https://www.youtube.com/embed/yPu8XICE-vA?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/810/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/812/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/813/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/814/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/815/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/443/816/datas/original.png']",,,,,,,,"['api', 'bootstrap', 'css3', 'data-science-toolkit', 'html5', 'javascript', 'node.js', 'phpmyadmin']",['https://github.com/beecoder-pro/Tour-easy']
Schedule,"
    Communicate. Help. Discuss.
  ",['https://www.youtube.com/embed/0ypQvW1gFvU?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"Due to the outbreak of covid, work from home become the new normal. People shifted to online meetings and online platforms to carry on their work. A discussion forum to discuss questions is essential for any organization in this time of the pandemic. ",Users can sign up on the platform and ask questions or answer questions asked by other people. Discussions can help people solve their problems.,"The prototype is built using HTML, CSS, and JavaScript.",,We were able to demo what we built.,We learned to work in a team by managing different timezones.,,"['css', 'html', 'javascript']",['https://github.com/shalinikumari50/Schedule']
WBGC Club at Home App,"
    A mobile application for the Waltham Boys & Girls Club with an online community for organization information, events, discussion, & rewards.
  ",['https://www.youtube.com/embed/pWhDY-JcQ4k?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"What inspired you to create this hack (where did you see the demand for your hack): 
The Boys and Girls club was in need of incorporating new technology in an effort to optimize their virtual engagement. Every feature of the app addresses a need that the club has expressed. The app allows direct access to the club from your pocket. ","How your hack will help your nonprofit: 
Our hack allows the WBGC to communicate with their members without them physically in the building. Something they have been struggling to achieve for a while. Our app bridges the physical distance this pandemic has caused but also has an opportunity to bridge the English gap between some of our Spanish-speaking members and families. ",Appy Pie App Maker Basic Account & Features + Google Sheets,,,,,"['appy-pie', 'google-spreadsheets']",['https://www.canva.com/design/DAEZWWNKLoo/kjbel1Uk27MSRysPJl2HxQ/view?utm_content=DAEZWWNKLoo&utm_campaign=designshare&utm_medium=link&utm_source=publishsharelink']
Nexus Initiative,"
    Connecting nonprofits and corporations through a digital Rolodex 
  ",['https://www.youtube.com/embed/IxFDkAqDWAE?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],,,,,,,,"['excel', 'zoom']",
Community Day Center Digital Library ,"
    How can a homeless shelter move from a case based model to a knowledge based one? Enter a digital hack. 
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/207/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/208/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/209/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/213/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/214/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/215/datas/gallery.jpg', 'https://www.youtube.com/embed/17ezH-Z80FQ?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/207/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/208/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/209/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/213/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/214/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/215/datas/original.png']",How can a small organization scale effectively?,Utilize hybrid offerings to empower caregivers and clients alike. Tailored content will help the CDCW stand out in the Boston area and attract additional funding. ,,,,The traditional care model for homelessness can be innovated. ,,"['digital', 'video']",
Smart UV-C type Sanitization Box,"
    Want to kill CoronaVirus and protect us. Not every object sanitized with the liquid/spray sanitizer, so, we build UV-C type Sanitization Box in just 7 USD*. Along, with an OLED display and an app.


  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/276/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/282/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/283/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/277/datas/gallery.jpg', 'https://www.youtube.com/embed/lIObzVfb21U?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/276/datas/original.jpg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/282/datas/original.jpeg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/283/datas/original.jpeg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/442/277/datas/original.jpg']","During this pandemic, it has become extremely important to make sure that we take all the necessary steps to keep this coronavirus away from us. Since the vaccination process is still in progress (more depends on the population of the Nation), the only way to stop the virus is to kill it. The only proven method to kill most of the viruses and germs is by using 'UVC Germicidal Lamp'. Because we are unable to liquid sanitized each and every item(like mobile phones, wallets, packaging food, etc). This is mainly for Post COVID, can be used at homes, shops, etc","Enough exposure to UV-C radiation causes damage to the DNA and RNA of the virus so they can't replicate, effectively killing or inactivating a virus. There are several reports claiming the effectiveness of UVC radiation on the new COVID-19. UVC light strike over a tray/stand which has items over it, along with Timer started over OLED display of 200 seconds. Timer also goes on an app and makes an alarm when time's up. With help of this, we can be sanitized our mobile phone, helmet, wallet, etc and shopkeepers sanitized currency/notes and items because it takes only 200 seconds.",Take a box of some kind and put the UV-C type light in it. The uppermost part houses all the electronics and a UVC light. we will be using aluminum foil to cover the inside of the enclosure where the light will hit. This will also help in reflecting the light evenly. Everything will be controlled using a NodeMCU. There will be two modes of operation. First will be Manual Mode wherein you have to manually turn OFF the lamp. The second one will be a Timer Mode wherein the lamp will be turned ON for a set amount of time. A menu will be created and displayed on an OLED display and on the app.,"Limited Hardware/Electronics components.
We continue pre-Idea for this hack. ","We did it, what we want. Now, we will be sanitized every item at home which comes from outside. If we just want to work in manual mode then, Cost of the project is around 500INR (i.e., 7 USD)",Link MIT App Inventor with NodeMCU.,"Also, connect the Relay module to make it more automated. If possible, we will make it for our friends and neighbors.","['arduino', 'firebase', 'iot', 'mit-app-inventor', 'oled', 'uv-c']",['https://github.com/Electrronix/UVC_Sanitization']
WeCare,"
    We have made a web app to track the dates of the menstrual cycle and the estimated day of ovulation. We also provide 24x7 support using WeCare chatbot and also have a forum where women can discuss
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/527/220/datas/gallery.jpg', 'https://www.youtube.com/embed/2xSyj--zZf4?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/527/220/datas/original.jpeg']","Periods usually arrive every month in a woman’s life. But we all are so busy with the mundane work that we tend to forget our period dates. Moreover, most of the women have such an inconsistent cycle that it is worthless for them to remember their previous dates. Also due to a lack of awareness and hesitation in society, many women don’t know the reason and what exactly one should do during menstruation.","To solve this problem faced by almost every woman we made a period tracking web app. This will help in recording the changes in her cycle which might be the sign of a potentially dangerous health issue. Furthermore, it will also help her to know more about her body, mood swings and to avoid sudden and severe period cramps. We also provide the estimated day of ovulation so that a woman could know when we can conceive.",,"It was very difficult to find the dataset for a project like this. We had to go through lots of websites and research papers to finally get this dataset. Also, creating and deploying using Flask was a very big challenge. ","Even though using Flask the first time, we built a really good website. Also, the same goes for streamlit.
Also, the project was really big with all these features we provide, so teamwork and time management were very much crucial for us, and we did manage it really well. ","We learned to deploy the website using Flask, and ML models using Streamlit. Time management and team management are also two very important lessons we learned.","Next, we wanna make our interface have multi-language support so that more women can access it. Also, more training data for the Machine Learning model is also a crucial part so we can get better accuracy of the model. Also, we aim to collaborate with researchers for creating more features, and also how some scientific features can be measured in day-to-day life. ","['bootstrap', 'css3', 'flask', 'html5', 'javascript', 'machine-learning', 'streamlit']","['https://github.com/Avinash-Singh-G/WeCare4u', 'https://wecare-4fe.herokuapp.com/']"
Modern Ecommerce Website ,"
    Ecommerce is the demand of today's market. I have created this e-commerce website. I am using the hosting of Microsoft Azure and also bought the domain from Azure. 


  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/419/833/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/419/835/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/419/836/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/419/837/datas/gallery.jpg', 'https://www.youtube.com/embed/ryaO-ZDxWr8?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/419/833/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/419/835/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/419/836/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/419/837/datas/original.png']",I am inspired by a website name Daraz. This is an incredible online market. A lot of people in Pakistan are using it. That's why I have created my own e-commerce website. ,People can come to this website to buy different products. People will get a receipt after buying a product. ,I built it using WordPress. I am using the hosting of Microsoft Azure and also bought the domain from Azure. ,The most important and difficult part in making this website to make it functional and adding interactivity to it. ,I am happy to tell you that after a lot of struggle. I have made it. ,,,"['azure', 'wordpress']",['http://buytosell.org/']
